uid,bd_earner_only,bd_members_respfor,bd_bizsector,e_total_employees,e_fulltime_employees,e_parttime_employees,e_casual_employees,e_male_employees,e_female_employees,e_related_employees,e_refugees_employees,Howmanyemployeesarefromthe,sr_bank_account,sr_pri_inc_sourcs,sr_access_newfunds,IfYesinQ31howhaveyouacce,sr_access,sr_access_1,sr_access_2,sr_access_3,sr_access_4,sr_access_5,sr_access_6,sr_access_7,sr_access_8,sr_access_9,sr_access_no,Onaveragehowmanycustomersd,sr_customers_hwmny,OUTLIERCHECKONTHENUMBEROFC,sr_customers_main,sr_records_keepb,sr_mnthly_sales_total,OUTLIERCHECKONTHEAVERAGEMON,sr_fluctuations,sr_revstreams_most,sr_revstreams_least,BI,BJ,BK,BL,Onascaleof1to5where1me,knwrate_sales,knwrate_ops_mgt,knwrate_invent_mgt,knwrate_bkeeping,knwrate_cashflow,skill_imprv1,skill_imprv2,skill_imprv3,skill_imprv4,Howmanymealsdoesyourhouseho,liv_meals_number_base,Inthelast4monthsdidyoubu,liv_assetsbght_4mnths,liv_cookingfuel,CB,CC,liv_expnseschl_3mnths,liv_expnsecooking,liv_expnsehhclthng,liv_expnserent,liv_expnsetrans_comm,aec_knowledge
part/KE16012104076,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),Yes,3000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,1,1,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,0,4500,0,1500,400,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104077,Yes,3,Shop & Retail,3,2,1,0,3,2,1,3,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,3000,Outlier,Individuals From The Camp (Refugee Customers),Yes,300000,Outlier,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,3,3,2,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Gas,Charcoal,,0,2000,4000,0,1000,Aec-Kenya Staff
part/KE16012104078,Yes,1,Shop & Retail,2,2,1,0,2,0,1,2,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,60,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,180000,Outlier,"Yes, Somewhat Flactuating",November,March,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,1,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,700,0,0,1500,Aec-Kenya Staff
part/KE16012104079,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,20000,,"Yes, Somewhat Flactuating",December,Februrary,Less Supply Of Goods,High Transportation Costs,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,0,700,500,0,1000,Aec-Kenya Staff
part/KE16012104080,Yes,8,Fashion,1,1,0,0,0,0,0,0,0,Yes,My Own Business,No,,Personal Savings,0,50000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,500,,Individuals From The Camp (Refugee Customers),Yes,30000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,3,4,4,3,Sales,,,,,Twice A Day,Once A Week,None,Firewood,Charcoal,,1500,1200,5000,0,2000,Aec-Kenya Staff
part/KE16012104081,Yes,8,Shop & Retail,1,1,0,0,1,0,1,1,0,No,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,0,,Individuals From The Camp (Refugee Customers),No,0,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,0,3500,0,300,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104082,No,6,Shop & Retail,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,120,,Individuals From The Camp (Refugee Customers),No,15000,,"Yes, Somewhat Flactuating",November,March,Competing Expenditure From Other Needs,,,,,2,2,2,2,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,300,700,5000,2000,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104083,Yes,8,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,6000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,1,2,1,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,600,0,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104084,No,11,Shop & Retail,1,1,0,0,0,0,0,0,0,Yes,My Own Business,No,,Loan From Family/Friends,0,0,0,50000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,900,,Individuals From The Camp (Refugee Customers),Yes,30000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,3,4,4,4,Sales,,,,,Twice A Day,Once A Week,None,Firewood,Charcoal,,0,1200,0,0,1000,Aec-Kenya Staff
part/KE16012104085,No,4,Grocery,3,3,0,0,2,1,2,3,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,Individuals From The Camp (Refugee Customers),No,25000,,"Yes, Somewhat Flactuating",November,August,Competing Expenditure From Other Needs,,,,,2,3,3,2,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,4500,600,4000,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104086,Yes,16,Shop & Retail,2,1,1,0,0,2,1,2,0,Yes,My Own Business,No,,She Has Not Accessed Any Loan.,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,1500,,Individuals From The Camp (Refugee Customers),Yes,120000,,"Yes, Somewhat Flactuating",April,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,4,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,2000,1000,3000,5000,1000,Fellow Entrepreneur/Business Owner
part/KE16012104087,Yes,5,Cereals,1,1,0,0,1,0,0,1,0,No,My Own Business,No,,Personal Savings,0,5000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,45000,,"Yes, Strongly Flactuating",December,January,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,,,3,3,3,3,3,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,None,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,400,900,1500,300,400,Aec-Kenya Staff
part/KE16012104088,No,5,Shop & Retail,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,She Has Not Accessed Any Loan,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,Individuals From The Camp (Refugee Customers),No,3000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,3,3,2,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,0,3000,5000,0,600,Fellow Entrepreneur/Business Owner
part/KE16012104089,No,7,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,Individuals From The Camp (Refugee Customers),No,4500,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,1,1,2,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,600,0,0,1500,Aec-Kenya Staff
part/KE16012104090,Yes,3,Shop & Retail,2,1,1,0,1,1,1,2,0,Yes,My Own Business,No,,The Business Has Not Accessed Any New Loans.,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,12000,,"Yes, Somewhat Flactuating",November,March,Competing Expenditure From Other Needs,,,,,3,4,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Three Times A Week Or More,"Radio Or Television, Phone, Chairs, Tables, Bed, O",Firewood,Charcoal,,8000,1500,3000,0,7000,"Past Clients, Fellow Entrepreneur/Business Owner,"
part/KE16012104091,Yes,2,Personal Services,2,2,0,0,2,0,1,2,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,Individuals From The Camp (Refugee Customers),No,12000,,"Yes, Somewhat Flactuating",August,April,Competing Expenditure From Other Needs,,,,,3,2,2,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,4000,600,4000,2500,1500,Aec-Kenya Staff
part/KE16012104092,Yes,3,Shop & Retail,1,1,0,0,0,1,0,0,0,Yes,My Own Business,No,,The Business Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Qualify For Credit, Or I Applied And Was Re",I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,30000,,"Yes, Somewhat Flactuating",November,January,Competing Expenditure From Other Needs,,,,,3,2,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,"Radio Or Television, Phone, Chairs, Tables, Bed, O",Firewood,Charcoal,,4000,1500,3000,0,5000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104093,Yes,14,Shop & Retail,2,1,1,0,0,2,0,2,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,1,1,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,1200,0,0,1000,Aec-Kenya Staff
part/KE16012104094,No,3,Shop & Retail,2,1,1,0,1,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Loans.,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,30000,,"Yes, Strongly Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,"Radio Or Television, Chairs, Tables, Bed, Or Other",Firewood,Charcoal,,0,6000,5000,0,0,Fellow Entrepreneur/Business Owner
part/KE16012104095,No,14,Shop & Retail,3,2,1,0,1,2,3,3,0,Yes,My Own Business,Yes,She Has Not Accessed Any Finance,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,50000,,"Yes, Somewhat Flactuating",October,March,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,1,2,2,2,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,45000,0,0,0,3000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104096,No,7,Shop & Retail,4,1,3,0,3,1,0,4,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,1200,,Individuals From The Camp (Refugee Customers),No,300000,Outlier,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,1,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,5000,600,0,0,4000,Aec-Kenya Staff
part/KE16012104097,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,3000,Outlier,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,120000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,3,2,2,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,I Do Not Cook - Buy Food From Restaurants/Food Ven,,,0,0,3000,3000,1500,Aec-Kenya Staff
part/KE16012104098,No,6,Personal Services,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,18000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,1,2,2,1,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,4500,1000,0,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104099,No,5,Personal Services,1,1,0,0,0,1,0,0,1,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,15000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,1,2,1,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,11500,800,0,0,200,Aec-Kenya Staff
part/KE16012104100,No,7,Shop & Retail,1,1,0,0,0,1,0,0,1,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From Host Community (Turkana County),No,450000,Outlier,"Yes, Somewhat Flactuating",November,November,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,300,0,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104101,No,4,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Business Revenue To Reinvest,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,1,2,3,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,800,4000,0,1000,Aec-Kenya Staff
part/KE16012104102,Yes,9,Shop & Retail,1,1,0,0,0,0,0,0,0,Yes,My Own Business,No,,Personal Savings,0,3000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),Yes,28000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,3,4,4,Sales,,,,,Twice A Day,Once A Week,None,Charcoal,,,0,1400,0,0,1500,Aec-Kenya Staff
part/KE16012104103,No,7,Shop & Retail,1,1,0,1,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,240,,Individuals From The Camp (Refugee Customers),No,150000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,2,1,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,1500,0,0,3000,Aec-Kenya Staff
part/KE16012104104,Yes,4,Shop & Retail,1,1,0,0,0,1,0,0,1,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,30000,,"Yes, Somewhat Flactuating",November,March,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,2,2,1,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,450,0,2000,3000,Aec-Kenya Staff
part/KE16012104105,No,9,Shop & Retail,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,15000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,2,2,1,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,10000,700,0,0,600,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104106,Yes,3,Shop & Wholesale,3,3,0,0,3,0,2,3,0,Yes,My Own Business,No,,His Business Has Not Accessed Any Loans.,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,Individuals From The Camp (Refugee Customers),Yes,30000,,"Yes, Somewhat Flactuating",December,March,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,0,1500,4000,4000,600,Aec-Kenya Staff
part/KE16012104107,Yes,3,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,240,,Individuals From The Camp (Refugee Customers),No,60000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,1,2,2,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,600,0,0,2000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104108,Yes,7,Agribusiness - Food Processing,2,1,1,0,1,1,0,1,1,Yes,My Own Business,No,,Business Revenue To Reinvest,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,Individuals From The Camp (Refugee Customers),No,30000,,"Yes, Somewhat Flactuating",October,March,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Once A Week,None,Firewood,,,0,600,4500,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104109,Yes,4,Shop & Retail,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, Small Business",I Have Never Thought About Credit As An Option,30,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,28000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Firewood,Charcoal,,0,900,1000,0,500,Aec-Kenya Staff
part/KE16012104110,No,1,Shop & Retail,2,2,0,0,2,0,0,2,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, Small Business",I Have Never Thought About Credit As An Option,40,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,30000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Three Times A Week Or More,None,I Do Not Cook - Buy Food From Restaurants/Food Ven,,,0,400,1000,0,1000,Aec-Kenya Staff
part/KE16012104111,Yes,7,Mpesa Service,3,3,0,0,1,2,1,3,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,500,,Individuals From The Camp (Refugee Customers),No,15000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,Charcoal,,22000,700,5000,4900,600,Aec-Kenya Staff
part/KE16012104112,No,4,Grocery Store,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,330,,Individuals From The Camp (Refugee Customers),Yes,30000,,"Yes, Somewhat Flactuating",October,December,Poor Weather,Competing Expenditure From Other Needs,Less Supply Of Goods,,,2,2,2,1,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,1200,0,0,1500,Aec-Kenya Staff
part/KE16012104113,Yes,10,Shop & Retail,1,1,0,1,1,0,0,1,0,No,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,0,,Individuals From The Camp (Refugee Customers),No,75000,,"Yes, Strongly Flactuating",September,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,4500,3000,10000,10000,3000,Aec-Kenya Staff
part/KE16012104114,Yes,9,Shop & Retail,2,1,1,0,0,2,0,2,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,Haven'T Found A Place I Can Be Given,,40,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,40000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,High Transportation Costs,,,,5,5,5,5,5,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,Radio Or Television,Firewood,Charcoal,,2000,1500,2000,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104115,Yes,6,Hospitality And Tourism & Hotel,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Loan From Family/Friends,0,6000,0,6000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,13000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,2,2,2,2,1,Sales,Book Keeping,Cash Flow And Inventory Management,,,Once A Day,Once A Week,"Chairs, Tables, Bed, Or Other Furniture",Firewood,,,400,300,900,200,400,Aec-Kenya Staff
part/KE16012104116,No,8,Shop & Retail,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,0,500,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Disruption Of Supply Chain,,,,1,2,1,1,1,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Twice A Week,None,Firewood,Charcoal,,400,800,1000,400,300,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104117,Yes,11,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,210,,Individuals From The Camp (Refugee Customers),No,150000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,500,0,0,1500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
